ortho,type,post90,cgram,genre,nombre,infover,lemme
contremaîtresse,1,contremaitresse,NOM,f,s,,contremaîtresse
coopérera,1,coopèrera,VER,,,ind:fut:3s;,coopérer
coopérerai,1,coopèrerai,VER,,,ind:fut:1s;,coopérer
coopéreraient,1,coopèreraient,VER,,,cnd:pre:3p;,coopérer
coopérerais,1,coopèrerais,VER,,,cnd:pre:1s;cnd:pre:2s;,coopérer
coopérerez,1,coopèrerez,VER,,,ind:fut:2p;,coopérer
coopéreriez,1,coopèreriez,VER,,,cnd:pre:2p;,coopérer
coopérerons,1,coopèrerons,VER,,,ind:fut:1p;,coopérer
coopéreront,1,coopèreront,VER,,,ind:fut:3p;,coopérer
cordelle,1,cordèle,NOM,f,s,,cordeau
corolle,1,corole,NOM,f,s,,corolle
corolles,1,coroles,NOM,f,p,,corolle
coupe-choux,2,coupe-chou/coupe-choux,NOM,m,,,coupe-choux
coupe-coupe,2,coupecoupe/coupecoupes,NOM,m,,,coupe-coupe
coupe-gorge,2,coupe-gorge/coupe-gorges,NOM,m,,,coupe-gorge
coupe-ongles,2,coupe-ongle/coupe-ongles,NOM,m,,,coupe-ongles
